employee_id,month,working_days,days_present,days_absent,leave_type
EMP0002,2025-03,20,17,3,None
EMP0003,2025-03,20,17,3,Casual
EMP0006,2025-03,20,20,0,None
EMP0007,2025-03,20,18,2,Casual
EMP0010,2025-03,20,20,0,None
EMP0011,2025-03,20,17,3,Casual
EMP0013,2025-03,20,16,4,Unpaid
EMP0014,2025-03,20,19,1,None
EMP0015,2025-03,20,19,1,Casual
EMP0019,2025-03,20,19,1,None
EMP0020,2025-03,20,17,3,Sick
EMP0022,2025-03,20,16,4,Unpaid
EMP0023,2025-03,20,19,1,Unpaid
EMP0024,2025-03,20,20,0,None
EMP0025,2025-03,20,17,3,Casual
EMP0026,2025-03,20,16,4,Earned
EMP0029,2025-03,20,18,2,Earned
EMP0030,2025-03,20,17,3,Casual
EMP0031,2025-03,20,17,3,Unpaid
EMP0032,2025-03,20,19,1,Unpaid
EMP0035,2025-03,20,20,0,None
EMP0043,2025-03,20,18,2,Casual
EMP0045,2025-03,20,17,3,Earned
EMP0046,2025-03,20,19,1,Casual
EMP0047,2025-03,20,18,2,Unpaid
EMP0048,2025-03,20,20,0,None
EMP0050,2025-03,20,20,0,None
EMP0052,2025-03,20,18,2,Earned
EMP0055,2025-03,20,17,3,None
EMP0056,2025-03,20,16,4,None
EMP0057,2025-03,20,17,3,Earned
EMP0062,2025-03,20,18,2,Unpaid
EMP0063,2025-03,20,18,2,None
EMP0064,2025-03,20,18,2,Sick
EMP0065,2025-03,20,18,2,Unpaid
EMP0066,2025-03,20,18,2,Earned
EMP0071,2025-03,20,17,3,Earned
EMP0074,2025-03,20,20,0,None
EMP0076,2025-03,20,18,2,Unpaid
EMP0077,2025-03,20,19,1,Unpaid
EMP0079,2025-03,20,18,2,Casual
EMP0081,2025-03,20,18,2,Unpaid
EMP0082,2025-03,20,19,1,Sick
EMP0083,2025-03,20,19,1,Sick
EMP0084,2025-03,20,18,2,Casual
EMP0085,2025-03,20,19,1,Sick
EMP0086,2025-03,20,17,3,Earned
EMP0087,2025-03,20,20,0,None
