employee_id,effective_month,base_salary,bonus,currency
EMP0001,2020-10,771000,88000,INR
EMP0001,2021-04,848000,23000,INR
EMP0001,2022-04,916000,42000,INR
EMP0001,2023-04,987000,84000,INR
EMP0002,2022-08,2104000,107000,INR
EMP0002,2023-04,2251000,96000,INR
EMP0002,2024-04,2393000,13000,INR
EMP0002,2025-04,2582000,262000,INR
EMP0003,2019-12,1037000,77000,INR
EMP0003,2020-04,1199000,118000,INR
EMP0003,2021-04,1388000,204000,INR
EMP0003,2022-04,1621000,106000,INR
EMP0003,2023-04,1860000,298000,INR
EMP0003,2024-04,2127000,401000,INR
EMP0003,2025-04,2523000,340000,INR
EMP0004,2025-08,2419000,89000,INR
EMP0004,2026-04,2599000,222000,INR
EMP0005,2019-03,3079000,219000,INR
EMP0005,2019-04,3382000,245000,INR
EMP0005,2020-04,3628000,9000,INR
EMP0006,2019-09,2230000,245000,INR
EMP0006,2020-04,2415000,158000,INR
EMP0006,2021-04,2569000,439000,INR
EMP0006,2022-04,2788000,287000,INR
EMP0006,2023-04,3002000,406000,INR
EMP0006,2024-04,3326000,552000,INR
EMP0006,2025-04,3565000,43000,INR
EMP0006,2026-04,3855000,684000,INR
EMP0007,2024-09,530000,14000,INR
EMP0007,2025-04,574000,94000,INR
EMP0007,2026-04,632000,100000,INR
EMP0008,2020-04,1132000,207000,INR
EMP0008,2021-04,1342000,148000,INR
EMP0009,2026-01,1705000,278000,INR
EMP0009,2026-04,1853000,23000,INR
EMP0010,2022-09,1798000,285000,INR
EMP0010,2023-04,1963000,202000,INR
EMP0010,2024-04,2120000,62000,INR
EMP0010,2025-04,2262000,152000,INR
EMP0010,2026-04,2500000,84000,INR
EMP0011,2023-01,801000,2000,INR
EMP0011,2023-04,855000,121000,INR
EMP0011,2024-04,925000,91000,INR
EMP0011,2025-04,987000,27000,INR
EMP0011,2026-04,1058000,21000,INR
EMP0012,2020-10,2322000,562000,INR
EMP0012,2021-04,2712000,264000,INR
EMP0012,2022-04,3131000,227000,INR
EMP0012,2023-04,3639000,713000,INR
EMP0013,2023-07,499000,46000,INR
EMP0013,2024-04,547000,35000,INR
EMP0013,2025-04,594000,41000,INR
EMP0013,2026-04,651000,20000,INR
EMP0014,2022-09,738000,133000,INR
EMP0014,2023-04,812000,121000,INR
EMP0014,2024-04,883000,29000,INR
EMP0014,2025-04,951000,27000,INR
EMP0014,2026-04,1048000,47000,INR
EMP0015,2020-03,5161000,649000,INR
EMP0015,2020-04,5641000,974000,INR
EMP0015,2021-04,5985000,285000,INR
EMP0015,2022-04,6423000,295000,INR
EMP0015,2023-04,7081000,1204000,INR
EMP0015,2024-04,7576000,96000,INR
EMP0015,2025-04,8273000,31000,INR
EMP0015,2026-04,8942000,948000,INR
EMP0016,2021-07,3789000,69000,INR
EMP0016,2022-04,4077000,564000,INR
EMP0017,2019-10,3338000,127000,INR
EMP0017,2020-04,3616000,378000,INR
EMP0017,2021-04,3993000,73000,INR
EMP0017,2022-04,4401000,180000,INR
EMP0018,2025-06,1429000,249000,INR
EMP0019,2021-08,1228000,122000,INR
EMP0019,2022-04,1426000,220000,INR
EMP0019,2023-04,1648000,58000,INR
EMP0019,2024-04,1929000,427000,INR
EMP0019,2025-04,2282000,338000,INR
EMP0019,2026-04,2710000,108000,INR
EMP0020,2022-06,2607000,261000,INR
EMP0020,2023-04,2765000,297000,INR
EMP0020,2024-04,2970000,114000,INR
EMP0020,2025-04,3233000,244000,INR
EMP0021,2025-10,701000,96000,INR
EMP0021,2026-04,772000,31000,INR
EMP0022,2020-09,2030000,387000,INR
EMP0022,2021-04,2391000,216000,INR
EMP0022,2022-04,2761000,227000,INR
EMP0022,2023-04,3211000,345000,INR
EMP0022,2024-04,3680000,272000,INR
EMP0023,2022-10,771000,48000,INR
EMP0023,2023-04,850000,149000,INR
EMP0023,2024-04,923000,45000,INR
EMP0023,2025-04,1008000,166000,INR
EMP0023,2026-04,1100000,181000,INR
EMP0024,2023-11,768000,53000,INR
EMP0024,2024-04,839000,34000,INR
EMP0024,2025-04,890000,18000,INR
EMP0024,2026-04,954000,11000,INR
EMP0025,2023-08,2594000,423000,INR
EMP0025,2024-04,2774000,362000,INR
EMP0025,2025-04,3037000,144000,INR
EMP0025,2026-04,3369000,371000,INR
EMP0026,2023-01,639000,64000,INR
EMP0026,2023-04,684000,58000,INR
EMP0026,2024-04,736000,73000,INR
EMP0026,2025-04,815000,26000,INR
EMP0026,2026-04,889000,141000,INR
EMP0027,2025-09,530000,14000,INR
EMP0027,2026-04,567000,32000,INR
EMP0028,2025-03,1384000,96000,INR
EMP0028,2025-04,1580000,114000,INR
EMP0028,2026-04,1868000,24000,INR
EMP0029,2024-08,1199000,69000,INR
EMP0029,2025-04,1403000,108000,INR
EMP0029,2026-04,1618000,164000,INR
EMP0030,2021-03,4466000,383000,INR
EMP0030,2021-04,4862000,834000,INR
EMP0030,2022-04,5298000,269000,INR
EMP0030,2023-04,5709000,251000,INR
EMP0030,2024-04,6300000,1018000,INR
EMP0030,2025-04,6990000,1066000,INR
EMP0031,2019-03,1245000,174000,INR
EMP0031,2019-04,1357000,60000,INR
EMP0031,2020-04,1494000,58000,INR
EMP0031,2021-04,1630000,171000,INR
EMP0031,2022-04,1783000,51000,INR
EMP0031,2023-04,1960000,182000,INR
EMP0031,2024-04,2156000,271000,INR
EMP0031,2025-04,2362000,352000,INR
EMP0031,2026-04,2537000,250000,INR
EMP0032,2020-09,825000,137000,INR
EMP0032,2021-04,909000,57000,INR
EMP0032,2022-04,977000,87000,INR
EMP0032,2023-04,1063000,149000,INR
EMP0032,2024-04,1168000,193000,INR
EMP0032,2025-04,1287000,188000,INR
EMP0033,2021-03,872000,51000,INR
EMP0033,2021-04,938000,105000,INR
EMP0033,2022-04,999000,124000,INR
EMP0034,2022-05,588000,51000,INR
EMP0035,2023-07,1295000,79000,INR
EMP0035,2024-04,1413000,202000,INR
EMP0035,2025-04,1529000,123000,INR
EMP0035,2026-04,1685000,114000,INR
EMP0036,2026-02,1932000,267000,INR
EMP0036,2026-04,2230000,90000,INR
EMP0037,2025-12,5113000,1165000,INR
EMP0037,2026-04,6062000,1376000,INR
EMP0038,2025-05,1280000,172000,INR
EMP0038,2026-04,1361000,190000,INR
EMP0039,2026-05,2757000,15000,INR
EMP0040,2021-12,2421000,217000,INR
EMP0040,2022-04,2574000,257000,INR
EMP0041,2026-06,1284000,93000,INR
EMP0042,2024-07,482000,79000,INR
EMP0043,2023-07,1306000,124000,INR
EMP0043,2024-04,1425000,199000,INR
EMP0043,2025-04,1539000,109000,INR
EMP0043,2026-04,1703000,180000,INR
EMP0044,2025-04,927000,182000,INR
EMP0044,2026-04,1092000,11000,INR
EMP0045,2022-12,4795000,840000,INR
EMP0045,2023-04,5191000,596000,INR
EMP0045,2024-04,5593000,455000,INR
EMP0045,2025-04,6042000,950000,INR
EMP0045,2026-04,6576000,264000,INR
EMP0046,2021-11,1918000,339000,INR
EMP0046,2022-04,2080000,188000,INR
EMP0046,2023-04,2287000,378000,INR
EMP0046,2024-04,2531000,287000,INR
EMP0046,2025-04,2799000,330000,INR
EMP0046,2026-04,3047000,22000,INR
EMP0047,2022-12,4278000,177000,INR
EMP0047,2023-04,4616000,557000,INR
EMP0047,2024-04,5048000,592000,INR
EMP0047,2025-04,5564000,421000,INR
EMP0047,2026-04,6029000,534000,INR
EMP0048,2022-03,1250000,246000,INR
EMP0048,2022-04,1446000,349000,INR
EMP0048,2023-04,1705000,191000,INR
EMP0048,2024-04,2016000,351000,INR
EMP0048,2025-04,2326000,202000,INR
EMP0048,2026-04,2760000,407000,INR
EMP0049,2023-07,1456000,14000,INR
EMP0049,2024-04,1576000,136000,INR
EMP0050,2023-08,1402000,237000,INR
