employee_id,review_cycle,rating,potential_flag,reviewer_id
EMP0002,FY25-H1,2,Standard,EMP0132
EMP0003,FY25-H1,3,Standard,EMP0221
EMP0003,FY25-H2,3,Standard,EMP0221
EMP0004,FY26-H1,2,Standard,EMP0274
EMP0006,FY25-H1,3,Standard,EMP0005
EMP0006,FY25-H2,2,Standard,EMP0005
EMP0006,FY26-H1,3,Standard,EMP0005
EMP0007,FY25-H1,2,Standard,EMP0336
EMP0007,FY25-H2,2,Standard,EMP0336
EMP0007,FY26-H1,3,Standard,EMP0336
EMP0010,FY25-H1,2,Standard,EMP0081
EMP0010,FY25-H2,3,Standard,EMP0081
EMP0010,FY26-H1,3,Standard,EMP0081
EMP0011,FY25-H1,2,Standard,EMP0032
EMP0011,FY25-H2,1,Standard,EMP0032
EMP0011,FY26-H1,2,Standard,EMP0032
EMP0013,FY25-H1,3,Standard,EMP0011
EMP0013,FY25-H2,3,Standard,EMP0011
EMP0013,FY26-H1,3,Standard,EMP0011
EMP0014,FY25-H1,4,High,EMP0351
EMP0014,FY25-H2,3,Standard,EMP0351
EMP0014,FY26-H1,3,Standard,EMP0351
EMP0015,FY25-H1,3,Standard,
EMP0015,FY25-H2,4,Standard,
EMP0015,FY26-H1,3,Standard,
EMP0018,FY25-H2,1,Standard,EMP0275
EMP0019,FY25-H1,4,High,EMP0006
EMP0019,FY25-H2,5,Standard,EMP0006
EMP0019,FY26-H1,4,High,EMP0006
EMP0020,FY25-H1,4,High,EMP0254
EMP0020,FY25-H2,4,Standard,EMP0254
EMP0021,FY26-H1,2,Standard,EMP0269
EMP0023,FY25-H1,2,Standard,EMP0401
EMP0023,FY25-H2,2,Standard,EMP0401
EMP0023,FY26-H1,2,Standard,EMP0401
EMP0024,FY25-H1,3,Standard,EMP0159
EMP0024,FY25-H2,3,Standard,EMP0159
EMP0024,FY26-H1,3,Standard,EMP0159
EMP0025,FY25-H1,1,Standard,EMP0400
EMP0025,FY25-H2,1,Standard,EMP0400
EMP0025,FY26-H1,2,Standard,EMP0400
EMP0026,FY25-H1,3,Standard,EMP0072
EMP0026,FY25-H2,3,Standard,EMP0072
EMP0026,FY26-H1,3,Standard,EMP0072
EMP0027,FY26-H1,2,Standard,EMP0093
EMP0028,FY25-H2,5,High,EMP0050
EMP0028,FY26-H1,5,Standard,EMP0050
EMP0029,FY25-H1,4,High,EMP0239
EMP0029,FY25-H2,4,Standard,EMP0239
EMP0029,FY26-H1,4,Standard,EMP0239
EMP0030,FY25-H1,3,Standard,EMP0095
EMP0031,FY25-H1,2,Standard,
EMP0031,FY25-H2,3,Standard,
EMP0031,FY26-H1,3,Standard,
EMP0032,FY25-H1,1,Standard,EMP0420
EMP0032,FY25-H2,2,Standard,EMP0420
EMP0035,FY25-H1,3,Standard,EMP0373
EMP0035,FY25-H2,3,Standard,EMP0373
EMP0035,FY26-H1,2,Standard,EMP0373
EMP0037,FY26-H1,4,High,EMP0387
EMP0038,FY25-H2,3,Standard,EMP0058
EMP0038,FY26-H1,2,Standard,EMP0058
EMP0043,FY25-H1,2,Standard,EMP0356
EMP0043,FY25-H2,3,Standard,EMP0356
EMP0043,FY26-H1,3,Standard,EMP0356
EMP0044,FY25-H2,5,Standard,EMP0325
EMP0044,FY26-H1,4,Standard,EMP0325
EMP0045,FY25-H1,2,Standard,EMP0417
EMP0045,FY25-H2,3,Standard,EMP0417
EMP0045,FY26-H1,3,Standard,EMP0417
EMP0046,FY25-H1,3,Standard,EMP0006
EMP0046,FY25-H2,2,Standard,EMP0006
EMP0046,FY26-H1,3,Standard,EMP0006
EMP0047,FY25-H1,4,Standard,EMP0077
EMP0047,FY25-H2,4,Standard,EMP0077
