requisition_id,candidate_id,department,grade,source,applied_date,offer_date,final_stage,joined_flag,employee_id
REQ0001,CAND00001,Engineering,L1,LinkedIn,2020-08-08,2020-09-13,Joined,Yes,EMP0001
REQ0001,CAND00002,Engineering,L1,LinkedIn,2020-08-06,,Applied,No,
REQ0001,CAND00003,Engineering,L1,Campus,2020-08-02,,Applied,No,
REQ0001,CAND00004,Engineering,L1,Naukri,2020-08-19,,Screened,No,
REQ0002,CAND00005,Engineering,L3,Employee Referral,2022-07-02,2022-07-16,Joined,Yes,EMP0002
REQ0002,CAND00006,Engineering,L3,Employee Referral,2022-07-12,2022-08-24,Offered,No,
REQ0002,CAND00007,Engineering,L3,LinkedIn,2022-06-20,,Applied,No,
REQ0002,CAND00008,Engineering,L3,Employee Referral,2022-07-02,,Interviewed,No,
REQ0002,CAND00009,Engineering,L3,Naukri,2022-07-20,,Applied,No,
REQ0003,CAND00010,Sales,L2,LinkedIn,2019-09-14,2019-12-06,Joined,Yes,EMP0003
REQ0003,CAND00011,Sales,L2,Recruitment Agency,2019-09-21,,Applied,No,
REQ0003,CAND00012,Sales,L2,Employee Referral,2019-09-17,,Interviewed,No,
REQ0003,CAND00013,Sales,L2,Naukri,2019-09-14,,Screened,No,
REQ0003,CAND00014,Sales,L2,LinkedIn,2019-09-13,,Applied,No,
REQ0003,CAND00015,Sales,L2,Employee Referral,2019-09-09,,Screened,No,
REQ0003,CAND00016,Sales,L2,LinkedIn,2019-09-24,,Applied,No,
REQ0003,CAND00017,Sales,L2,Employee Referral,2019-10-04,,Screened,No,
REQ0004,CAND00018,Sales,L4,Campus,2025-06-05,2025-08-08,Joined,Yes,EMP0004
REQ0004,CAND00019,Sales,L4,Naukri,2025-06-16,,Screened,No,
REQ0004,CAND00020,Sales,L4,Recruitment Agency,2025-05-22,,Interviewed,No,
REQ0004,CAND00021,Sales,L4,Naukri,2025-05-30,,Screened,No,
REQ0004,CAND00022,Sales,L4,Campus,2025-06-10,,Screened,No,
REQ0004,CAND00023,Sales,L4,LinkedIn,2025-06-11,,Applied,No,
REQ0004,CAND00024,Sales,L4,Employee Referral,2025-06-12,2025-07-05,Offered,No,
REQ0004,CAND00025,Sales,L4,Employee Referral,2025-06-26,2025-08-02,Offered,No,
REQ0005,CAND00026,Engineering,L4,Recruitment Agency,2018-12-18,2019-02-08,Joined,Yes,EMP0005
REQ0005,CAND00027,Engineering,L4,LinkedIn,2018-12-04,2019-01-06,Offered,No,
REQ0005,CAND00028,Engineering,L4,LinkedIn,2018-12-27,,Applied,No,
REQ0005,CAND00029,Engineering,L4,Employee Referral,2018-12-24,,Screened,No,
REQ0005,CAND00030,Engineering,L4,Employee Referral,2018-12-17,,Interviewed,No,
REQ0005,CAND00031,Engineering,L4,Campus,2018-12-04,,Screened,No,
REQ0006,CAND00032,Engineering,L3,LinkedIn,2019-06-27,2019-09-02,Joined,Yes,EMP0006
